"Service","Relational Database Service($)","ElastiCache($)","Tax($)","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","VPC($)","CloudWatch($)","WAF($)","Secrets Manager($)","Lightsail($)","Route 53($)","S3($)","EC2 Container Registry (ECR)($)","Elastic Container Service($)","CloudShell($)","Key Management Service($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Certificate Manager($)","Data Transfer($)","Total costs($)"
"2026-05-24","5.0745479105","9.1776","","6.1971545624","3.3791432714","1.9297130294","1.59872923","0.08064516","0.5830643568","0.2193548352","0.2091396799","0.0007312","0.0095447975","0.0026476656","","","0","0","","","","","","28.4620156987"
"2026-05-25","5.0717439777","9.1776","","6.1978749768","3.3787940735","1.9294949638","1.598730575","0.08064516","0.5822849568","0.2193548352","0.2091396799","0.0005912","0.0096281966","0.0026476656","","","0","0","","","","","","28.4585302609"
"2026-05-26","5.0666750612","9.1776","","6.1970520256","3.3781176894","1.9304569429","1.5988973","0.08064516","0.6186629568","0.2193598352","0.2091396799","0.0009036","0.0101444443","0.0026476656","","","","0","","","","","","28.4903023609"
"2026-05-27","5.0604000624","9.1776","","6.1976143504","3.3781215783","1.9291723251","1.598686135","0.08064516","0.5826341568","0.2194498352","0.2091396799","0.0008696","0.0094291351","0.0026476656","","","","0","","","","","","28.4464096838"
"2026-05-28","5.0494336337","9.1776","","5.6698163712","3.4232118404","1.9296745069","1.536913885","0.08064516","0.5843477568","0.2193548352","0.2091396799","0.0015104","0.0094949142","0.0026476656","","","0","0","","","","","","27.8937906489"
"2026-05-29","5.0494995326","9.1776","","5.9430222272","2.9958095944","1.9294845437","1.564375","0.08064516","0.5828747568","0.2193548352","0.2091396799","0.0007112","0.0091626832","0.0026476656","","","0","0","","","","","","27.7643268786"
"2026-05-30","5.0434365259","9.1776","","5.9666044096","2.9971714681","1.9298992171","1.562787505","0.08064516","0.5846693568","0.2193548352","0.2091396799","0.000658","0.0095227168","0.0026476656","","","0","0","0","","","","","27.78413654"
"2026-05-31","5.0487784495","9.1776","","5.9540729088","2.9900577364","1.9307809106","1.561305555","0.08064516","0.5841377568","0.2193548352","0.2091396799","0.0005584","0.009945694","0.0026476656","","","0","0","","","","","","27.7690247518"
"2026-06-01","5.0614717043","8.8992","10.78","6.7990089064","3.0059697992","1.9302555022","1.64365001","0","0.6056178048","0.2267616848","0.2071110026","0.5007004","0.0102268517","0.0027359208","","","0","0","0","","","","","39.6727095868"
"2026-06-02","4.3827777761","6.216","","7.2407788328","2.8270874388","1.7688733421","1.69606251","0","0.5523196044","0.2077777944","0.11","0.0010408","0.0095469812","0.0025079274","","","0","0","","","","0","","25.0147730072"
"2026-06-03","","","","","","","","","","","","","","","","","","","","","","","","0"
